topo,V,D,EPR,traffic,ave_phi,std_phi,ave_time[s],std_time[s],ave_PeakRAM[B],std_PeakRAM[B]
Polarfly,133,12,6,router-cluster,9.62631257172889,0.0,67.22544317245483,1.8842837982936573,273794372.8,10.73312629199899
Polarfly,133,12,6,random-permute,10.0,0.0,34.65415444374084,1.3092052203390074,273794372.8,10.73312629199899
Polarfly,183,14,7,uniform,10.0,0.0,199.4713502407074,4.274441643263042,719467388.8,10.73312629199899
Polarfly,183,14,7,shift-half,7.330039127906181,0.0,323.88502702713015,2.9523430023962853,719467388.8,10.73312629199899
Polarfly,183,14,7,nearst-neighbour,9.992193598750978,0.0,92.10613255500793,3.6776188796905447,719467388.8,10.73312629199899
Polarfly,183,14,7,shift-1,10.0,0.0,93.51344971656799,4.014770011499149,719467388.8,10.73312629199899
Polarfly,183,14,7,router-cluster,9.723178995462423,0.0,1218.8404683589936,31.108524369973065,719467388.8,10.73312629199899
Polarfly,183,14,7,random-permute,10.0,0.0,92.35499000549316,2.996478804874559,719467388.8,10.73312629199899
RRG,13,4,2,uniform,10.0,0.0,0.0389826774597168,0.0005676015945475515,128243.2,3942.635057927629
RRG,13,4,2,shift-half,7.999999999999998,0.0,0.02681279182434082,9.587021258311854e-05,126484.8,10.73312629199899
RRG,13,4,2,nearst-neighbour,9.615384615384615,0.0,0.024595069885253906,6.064798820167142e-05,126484.8,10.73312629199899
RRG,13,4,2,shift-1,10.0,0.0,0.024702072143554688,0.0009717657587666611,126484.8,10.73312629199899
RRG,13,4,2,router-cluster,9.23076923076923,0.0,0.025240516662597655,7.724828189989815e-05,126484.8,10.73312629199899
RRG,13,4,2,random-permute,10.0,0.0,0.023296117782592773,0.0001189100563016433,126484.8,10.73312629199899
RRG,18,5,3,uniform,8.153846153846153,0.0,0.16366405487060548,0.000959349012178103,748585.6,19269.539402902188
RRG,18,5,3,shift-half,5.555555555555555,0.0,0.09426722526550294,0.006597143310908311,739972.8,10.73312629199899
RRG,18,5,3,nearst-neighbour,9.814814814814815,0.0,0.08959240913391113,0.0008559036950097632,739972.8,10.73312629199899
RRG,18,5,3,shift-1,10.0,0.0,0.08811478614807129,0.000591057098726852,739972.8,10.73312629199899
RRG,18,5,3,router-cluster,8.95148669796557,0.0,0.10212216377258301,0.000733353547974136,739972.8,10.73312629199899
RRG,18,5,3,random-permute,10.0,0.0,0.08553133010864258,0.0006724596044692222,739972.8,10.73312629199899
RRG,31,6,3,uniform,9.999999999999996,0.0,1.038859224319458,0.007595533080912571,3388603.2,15087.197857786581
RRG,31,6,3,shift-half,7.179487179487176,0.0,0.48056702613830565,0.039340067488164335,3381878.4,38.1156135986291
RRG,31,6,3,nearst-neighbour,9.89247311827957,0.0,0.40080790519714354,0.003527531384611844,3408830.4,15065.731605202584
RRG,31,6,3,shift-1,10.0,0.0,0.451613712310791,0.05360646667349423,3395398.4,18423.19789830202
RRG,31,6,3,router-cluster,9.89247311827957,0.0,0.5073363780975342,0.003993393885611668,3408830.4,15065.731605202584
RRG,31,6,3,random-permute,10.0,0.0,0.42781929969787597,0.055237014358354174,3395403.2,18470.03246342572
RRG,32,6,3,uniform,10.000000000000002,0.0,1.180820894241333,0.05069296805929147,3458872,16099.486699892019
RRG,32,6,3,shift-half,6.222222222222222,0.0,0.4201423168182373,0.00755087075257878,3470596.8,10.73312629199899
RRG,32,6,3,nearst-neighbour,9.895833333333334,0.0,0.40498971939086914,0.0032172884486165163,3470596.8,10.73312629199899
