V,D,M_id,phi_ECMP_ASP,phi_IT,phi_IT_fast,phi_IT_fast_diff,time_IT,time_IT_fast,time_IT_fast_diff,attempts_IT,attempts_IT_fast,attempts_IT_fast_diff
36,5,27,0.43884315218396047,0.4388431906700134,0.4388431906700134,0.4388431906700134,0.0014102173333333334,0.010536453666666667,0.009857069666666668,0,0.0,0.0
36,5,28,0.37465060757460555,0.47108468413352966,0.47108468413352966,0.47108468413352966,0.001419843,0.010470837000000002,0.009756871333333333,1,1.0,0.0
36,5,29,0.6745329467780876,2.2854435443878174,2.2854435443878174,2.2854435443878174,0.0022517210000000004,0.011504878666666668,0.010142797,42,195.0,55.0
36,5,30,1.0201419326649814,2.9763667583465576,2.451263666152954,2.311089277267456,0.0062381070000000005,0.012783781666666667,0.011519831000000001,261,545.0,545.0
36,5,31,1.1123844777863052,2.505267381668091,2.2068138122558594,2.2058603763580322,0.002203370666666667,0.012660252000000002,0.011584180666666668,40,545.0,545.0
36,5,32,0.9291751235908895,1.5603848695755005,1.5603848695755005,1.5603848695755005,0.001604172,0.010065905333333333,0.009924471666666665,10,14.0,1.0
36,5,33,0.6773118072082502,0.815467894077301,0.815467894077301,0.815467894077301,0.0015314483333333335,0.009865335666666667,0.010027942333333333,1,1.0,0.0
36,5,34,0.4586722685430851,0.45867228507995605,0.45867228507995605,0.45867228507995605,0.0014005283333333334,0.009815392666666667,0.009807799333333334,0,0.0,0.0
36,5,35,0.5783580924802929,1.3074538707733154,1.3074538707733154,1.3074538707733154,0.0015979696666666668,0.009948220333333334,0.009936518666666666,10,16.0,0.0
36,5,36,0.8758440815593809,2.8636937141418457,2.8636937141418457,2.631448984146118,0.0035204353333333333,0.013538414333333334,0.011831584666666667,114,791.0,553.0
36,5,37,1.0145458888761498,3.1631925106048584,2.38448166847229,2.458266019821167,0.019917835666666668,0.011865319333333332,0.011722513333333332,437,551.0,545.0
36,5,38,0.8732460375503803,2.168259382247925,1.9157480001449585,1.9348490238189697,0.001799039,0.011655312666666667,0.011680949000000001,19,545.0,545.0
36,5,39,0.6456688609804765,1.6715725660324097,1.6715725660324097,1.6715725660324097,0.0016974316666666669,0.010171576,0.010234888999999999,14,40.0,37.0
36,5,40,0.515879893154554,0.5158799290657043,0.5158799290657043,0.5158799290657043,0.0014323053333333334,0.009933184999999999,0.009797598666666667,0,0.0,0.0
36,5,41,0.5679932750719924,0.8043177723884583,0.8043177723884583,0.8043177723884583,0.0014731566666666667,0.009868982333333333,0.009927253666666669,3,3.0,0.0
36,5,42,0.831869696684983,2.4693551063537598,2.4693551063537598,2.4693551063537598,0.0031722800000000004,0.010884829666666667,0.010145425000000001,110,198.0,45.0
36,5,43,1.213955169652194,3.1613407135009766,2.4205069541931152,2.4352309703826904,0.005524516,0.011656878333333334,0.011601067,223,545.0,545.0
36,5,44,0.9830457481478257,2.493772506713867,2.3189640045166016,2.174034357070923,0.0021400236666666668,0.011654234666666666,0.011662438333333336,33,545.0,545.0
36,5,45,0.6811810022616023,1.4736601114273071,1.4736601114273071,1.4736601114273071,0.0016046953333333335,0.010101896666666667,0.010060013666666668,10,19.0,1.0
36,5,46,0.5130134597017739,0.5130134224891663,0.5130134224891663,0.5130134224891663,0.0014166236666666666,0.010041728,0.009988767,0,0.0,0.0
36,5,47,0.381750960355901,0.4621987044811249,0.4621987044811249,0.4621987044811249,0.0014735066666666668,0.009933703,0.009834154,1,1.0,0.0
36,5,48,0.6351262581983449,1.9731545448303223,1.9731545448303223,1.9731545448303223,0.001835683,0.010369047000000001,0.010059962666666667,21,89.0,5.0
36,5,49,1.0123640854037155,2.805818557739258,2.44838285446167,2.322509288787842,0.003873511666666667,0.011759455000000002,0.011582266,113,545.0,545.0
36,5,50,1.2758960520661577,2.5885727405548096,2.5885727405548096,2.3392045497894287,0.002656642666666667,0.011811438,0.011684781333333333,38,459.0,545.0
36,5,51,0.9338146376538348,1.7283259630203247,1.7283259630203247,1.7283259630203247,0.0020672466666666668,0.010171359333333333,0.010053621666666667,11,26.0,0.0
