V,D,M_name,M_weight,ave_time_MP_APST4,std_time_MP_APST4,ave_peakRAM_MP_APST4,std_peakRAM_MP_APST4,ave_time_IT,std_time_IT,ave_peakRAM_IT, std_peakRAM_IT,ave_time_MD_MP_APST4,std_time_MD_MP_APST4,ave_peakRAM_MD_MP_APST4,std_peakRAM_MD_MP_APST4,ave_time_MD_IT,std_time_MD_IT,ave_peakRAM_MD_IT,std_peakRAM_MD_IT
36,5,shift_58,0.009345794392523364,0.3929253101348877,0.0029986459143897005,1749241.6,8798.620619165256,0.02365083694458008,6.048726809792495e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_59,0.009345794392523364,0.39066400527954104,0.0036004393109613777,1749241.6,8798.620619165256,0.019962120056152343,2.3168594540592708e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_60,0.009345794392523364,0.3850070953369141,0.0017005871752346958,1749241.6,8798.620619165256,0.02421417236328125,0.00011303889744387916,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_61,0.009345794392523364,0.4216604709625244,0.04701928171375119,1742848,44.8998886412873,0.02363286018371582,5.506375026595743e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_62,0.009345794392523364,0.430115270614624,0.05547123361449075,1746084.8,7215.522378871817,0.02341904640197754,9.893187486571552e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_63,0.009345794392523364,0.3922101974487305,0.0029651033414678095,1752467.2,8817.663363953061,0.01842975616455078,9.30854345874683e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_64,0.009345794392523364,0.39398746490478515,0.002449304607326785,1752456,8807.384174657082,0.022089052200317382,8.198902607254953e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_65,0.009345794392523364,0.4218174457550049,0.040296658048067154,1749276.8,8777.514181133518,0.021887731552124024,0.0002029102775183144,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_66,0.009345794392523364,0.4425097942352295,0.06451503105760152,1742848,44.8998886412873,0.02240443229675293,0.0001025265037329696,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_67,0.009345794392523364,0.3918601989746094,0.002679380315520151,1749241.6,8798.620619165256,0.0215087890625,4.400570194141669e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_68,0.009345794392523364,0.3914311408996582,0.0010696768839728,1749241.6,8798.620619165256,0.022826385498046876,4.3918682575620824e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_69,0.009345794392523364,0.3870529651641846,0.002564952469064298,1749241.6,8798.620619165256,0.03525896072387695,0.00011479878103721348,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_70,0.009345794392523364,0.41512298583984375,0.043071009549905635,1742848,44.8998886412873,0.030025339126586913,0.00012157332496477327,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_71,0.009345794392523364,0.4489265441894531,0.049914014613675096,1742865.6,53.48644688142969,0.02759890556335449,0.00016062896848092497,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_72,0.009345794392523364,0.4109475612640381,0.046796098478033205,1749259.2,8782.667658519249,0.019898414611816406,5.9367662435416304e-05,193,0.0,0,0,0,0,0,0,0,0
